t,ball_x,ball_z,ball_vx,ball_vz,ee_x,ee_z
0,1.0,2.5,-1.8,2.0,0.0,0.5
0.004166666666666667,0.9925046134059087,2.508157894826768,-1.7988927825819239,1.9578947584243598,0.0,0.5
0.008333333333333333,0.9850137975336254,2.5161405024311088,-1.797795809347985,1.91582582504175,1.249000902703301e-16,0.4474140070091053
0.0125,0.9775275101753075,2.523947971712651,-1.7967089659963038,1.873792627570102,2.7755575615628914e-17,0.42462146129228706
0.016666666666666666,0.9700457096094811,2.5315804492061997,-1.7956321357983167,1.831794598451686,-5.551115123125783e-17,0.4211922556917536
0.020833333333333332,0.9625683546116113,2.5390380791019367,-1.794565199488752,1.7898311749768612,8.326672684688674e-17,0.43194511326204654
0.024999999999999998,0.9550954044651406,2.546321003266178,-1.7935080351529475,1.7479017994179038,1.6653345369377348e-16,0.4541548165367468
0.029166666666666664,0.9476268189730087,2.553429361262734,-1.7924605181116626,1.7060059191734356,1.3877787807814457e-16,0.48640232470827854
0.03333333333333333,0.9401625584696606,2.560363290374917,-1.7914225208035657,1.6641429869239905,1.1102230246251565e-16,0.5280437337399223
0.0375,0.9327025838335538,2.5671229256282473,-1.7903939126656228,1.6223124607992643,1.3877787807814457e-16,0.5789161242963146
0.041666666666666664,0.9252468565001718,2.573708399813904,-1.7893745600116588,1.5805138045575982,6.938893903907228e-17,0.6391474655540681
0.04583333333333333,0.9177953384755493,2.58011984351298,-1.7883643259094115,1.5387464877782502,1.6653345369377348e-16,0.709023861780088
0.049999999999999996,0.910347992350314,2.586357385121593,-1.7873630700564547,1.497009986067003,1.5265566588595902e-16,0.7888892973186504
0.05416666666666666,0.9029047813142498,2.592421150876908,-1.7863706486554287,1.4553037812756477,1.942890293094024e-16,0.879071937576221
0.05833333333333333,0.8954656691713786,2.598311264884141,-1.7853869142890775,1.413627361735868,1.5265566588595902e-16,0.9798312130826564
0.06249999999999999,0.8880306203555633,2.6040278491445914,-1.7844117157956665,1.3719802225080198,0.0,1.0908785271605765
0.06666666666666667,0.8805995999466241,2.60957102358478,-1.7834448981454256,1.3303618656452731,2.220446049250313e-16,1.2103541143543133
0.07083333333333333,0.8731725736869627,2.6149409060867534,-1.7824863023187454,1.2887718004735327,1.942890293094024e-16,1.336045049251189
0.075,0.8657495079986838,2.620137612519618,-1.781535765186932,1.2472095438874986,2.7755575615628914e-16,1.4647761246853848
0.07916666666666666,0.8583303700011987,2.625161256772381,-1.7805931193964193,1.2056746206631623,2.7755575615628914e-16,1.592318092582087
0.08333333333333333,0.8509151275292928,2.63001195078816,-1.7796581932574194,1.1641665637869407,8.326672684688674e-17,1.7133624617472596
0.0875,0.8435037491516341,2.634689804599833,-1.7787308106380848,1.1226849148015587,3.0531133177191805e-16,1.821592483408069
0.09166666666666666,0.8360962041896951,2.6391949263672023,-1.7778107908653473,1.081229224168668,3.608224830031759e-16,1.9015182647093698
0.09583333333333333,0.8286924627370548,2.643527422415736,-1.7768979486336802,1.0397990516480573,2.7755575615628914e-16,1.954858347233034
0.09999999999999999,0.8212924956790417,2.6476873972769575,-1.7759920939231226,0.9983939666931544,2.7755575615628914e-16,1.9848532610523686
0.10416666666666666,0.8138962747126751,2.6516749537305504,-1.7750930319279725,0.9570135488623475,3.0531133177191805e-16,1.997429222790508
0.10833333333333332,0.8065037723668517,2.65549019284824,-1.7742005629976316,0.9156573882454601,3.608224830031759e-16,1.9991002872273886
0.11249999999999999,0.7991149620227219,2.6591332140395085,-1.7733144825911373,0.874325085904503,2.7755575615628914e-16,1.9951340837115672
0.11666666666666665,0.791729817934193,2.662604115099207,-1.7724345812469606,0.8330162543275959,3.3306690738754696e-16,1.977777339688844
0.12083333333333332,0.784348315248486,2.665902992257102,-1.7715606445696728,0.7917305178947049,3.608224830031759e-16,1.9513672674150084
0.12499999999999999,0.7769704300266732,2.669029940229408,-1.7706924532350836,0.750467513353583,3.0531133177191805e-16,1.9194276132441754
0.12916666666666665,0.7695961392641089,2.671985052272342,-1.7698297830154353,0.7092268903040235,3.3306690738754696e-16,1.8849431599003195
0.13333333333333333,0.7622254209106665,2.6747684202377098,-1.7689724048261786,0.6680083116882625,3.3306690738754696e-16,1.850387178104595
0.1375,0.7548582538906841,2.6773801346305643,-1.7681200847957823,0.6268114542850776,3.0531133177191805e-16,1.8177656699448663
0.1416666666666667,0.7474946181225178,2.679820284668918,-1.7672725843599044,0.5856360092048548,3.3306690738754696e-16,1.7886686206339217
0.14583333333333337,0.7401344945375966,2.6820889583455125,-1.7664296603811036,0.5444816823826223,1.6653345369377348e-16,1.7643216865435645
0.15000000000000005,0.7327778650988671,2.68418624249162,-1.7655910652950797,0.503348195065795,2.498001805406602e-16,1.7456338513533765
0.15416666666666673,0.7254247128185163,2.6861122228428416,-1.7647565472842024,0.4622352842931468,2.7755575615628914e-16,1.7332380065967916
0.1583333333333334,0.7180750217748545,2.687866984106847,-1.7639258504788253,0.42114270336132603,3.0531133177191805e-16,1.727522422626803
0.1625000000000001,0.7107287771282438,2.6894506100329933,-1.763098715186584,0.3800702222750743,1.942890293094024e-16,1.7286518324184694
0.16666666666666677,0.703385965135954,2.6908631834837315,-1.7622748781495452,0.33901762817720066,1.942890293094024e-16,1.7365773303705478
0.17083333333333345,0.6960465731658343,2.692104786507708,-1.7614540728287225,0.2979847257543092,3.0531133177191805e-16,1.7510308734914275
0.17500000000000013,0.688710589708688,2.693175500414434,-1.7606360297150956,0.25697133761428925,2.498001805406602e-16,1.771512042017204
0.1791666666666668,0.6813780043892468,2.6940754058503993,-1.7598204766658898,0.21597730463165526,3.608224830031759e-16,1.7972684789360482
0.1833333333333335,0.6740488079756448,2.69480458287647,-1.7590071392644775,0.17500248625697312,3.3306690738754696e-16,1.8273291654788821
0.18750000000000017,0.6667229923873036,2.695363111046415,-1.7581957412018865,0.1340467607868327,2.220446049250313e-16,1.8602731990201353
0.19166666666666685,0.6594005507011472,2.695751069486378,-1.7573860046775343,0.09311002559112234,3.3306690738754696e-16,1.894426359057166
